轮播频道,#genre#
湖南卫视,http://2g545s5578.qicp.vip:59901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$河南安阳联通
安徽卫视,http://2g545s5578.qicp.vip:59901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$河南安阳联通
山东卫视,http://2g545s5578.qicp.vip:59901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$河南安阳联通
湖北卫视,http://2g545s5578.qicp.vip:59901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$河南安阳联通
陕西卫视,http://2g545s5578.qicp.vip:59901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0$河南安阳联通
江西卫视,http://2g545s5578.qicp.vip:59901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$河南安阳联通
河南卫视,http://2g545s5578.qicp.vip:59901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$河南安阳联通
陕西卫视,http://2g545s5578.qicp.vip:59901/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$河南安阳联通
重庆卫视,http://2g545s5578.qicp.vip:59901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$河南安阳联通
黑龙江卫视,http://2g545s5578.qicp.vip:59901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$河南安阳联通
东南卫视,http://2g545s5578.qicp.vip:59901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0$河南安阳联通
咪咕频道,#genre#
CCTV1综合,http://123.57.22.102:2080/migu720p.php?id=608807420
CCTV2财经,http://123.57.22.102:2080/migu720p.php?id=631780532
CCTV3综艺,http://123.57.22.102:2080/migu720p.php?id=624878271
CCTV4中文国际,http://123.57.22.102:2080/migu720p.php?id=631780421
CCTV5体育,http://123.57.22.102:2080/migu720p.php?id=641886683
CCTV5+体育赛事,http://123.57.22.102:2080/migu720p.php?id=641886773
CCTV6电影,http://123.57.22.102:2080/migu720p.php?id=624878396
CCTV7国防军事,http://123.57.22.102:2080/migu720p.php?id=673168121
CCTV8电视剧,http://123.57.22.102:2080/migu720p.php?id=624878356
CCTV9纪录,http://123.57.22.102:2080/migu720p.php?id=673168140
CCTV10科教,http://123.57.22.102:2080/migu720p.php?id=624878405
CCTV11戏曲,http://123.57.22.102:2080/migu720p.php?id=667987558
CCTV12社会与法,http://123.57.22.102:2080/migu720p.php?id=673168185
CCTV13新闻,http://123.57.22.102:2080/migu720p.php?id=608807423
CCTV14少儿,http://123.57.22.102:2080/migu720p.php?id=624878440
CCTV15音乐,http://123.57.22.102:2080/migu720p.php?id=673168223
CCTV17农业农村,http://123.57.22.102:2080/migu720p.php?id=673168256
东方卫视,http://123.57.22.102:2080/migu720p.php?id=651632648
江苏卫视,http://123.57.22.102:2080/migu720p.php?id=623899368
广东卫视,http://123.57.22.102:2080/migu720p.php?id=608831231
河南卫视,http://123.57.22.102:2080/migu720p.php?id=790187291
大湾区卫视,http://123.57.22.102:2080/migu720p.php?id=608917627
湖北卫视,http://123.57.22.102:2080/migu720p.php?id=947472496
吉林卫视,http://123.57.22.102:2080/migu720p.php?id=947472500
海南卫视,http://123.57.22.102:2080/migu720p.php?id=947472502
海峡卫视,http://123.57.22.102:2080/migu720p.php?id=849119120
中国农林卫视,http://123.57.22.102:2080/migu720p.php?id=956904896
辽宁卫视,http://123.57.22.102:2080/migu720p.php?id=630291707
上海新闻综合,http://123.57.22.102:2080/migu720p.php?id=651632657
上视东方影视,http://123.57.22.102:2080/migu720p.php?id=617290047
南京新闻综合频道,http://123.57.22.102:2080/migu720p.php?id=838109047
南京教科频道,http://123.57.22.102:2080/migu720p.php?id=838153729
南京十八频道,http://123.57.22.102:2080/migu720p.php?id=838151753
江苏城市频道,http://123.57.22.102:2080/migu720p.php?id=626064714
江苏国际,http://123.57.22.102:2080/migu720p.php?id=626064674
江苏教育,http://123.57.22.102:2080/migu720p.php?id=628008321
江苏影视频道,http://123.57.22.102:2080/migu720p.php?id=626064697
江苏综艺频道,http://123.57.22.102:2080/migu720p.php?id=626065193
公共新闻频道,http://123.57.22.102:2080/migu720p.php?id=626064693
盐城新闻综合,http://123.57.22.102:2080/migu720p.php?id=639731825
淮安新闻综合,http://123.57.22.102:2080/migu720p.php?id=639731826
泰州新闻综合,http://123.57.22.102:2080/migu720p.php?id=639731818
连云港新闻综合,http://123.57.22.102:2080/migu720p.php?id=639731715
宿迁新闻综合,http://123.57.22.102:2080/migu720p.php?id=639731832
徐州新闻综合,http://123.57.22.102:2080/migu720p.php?id=639731747
优漫卡通频道,http://123.57.22.102:2080/migu720p.php?id=626064703
江阴新闻综合,http://123.57.22.102:2080/migu720p.php?id=955227979
南通新闻综合,http://123.57.22.102:2080/migu720p.php?id=955227985
宜兴新闻综合,http://123.57.22.102:2080/migu720p.php?id=955227996
溧水新闻综合,http://123.57.22.102:2080/migu720p.php?id=639737327
陕西银龄频道,http://123.57.22.102:2080/migu720p.php?id=956909362
陕西都市青春频道,http://123.57.22.102:2080/migu720p.php?id=956909358
陕西体育休闲频道,http://123.57.22.102:2080/migu720p.php?id=956909356
陕西秦腔频道,http://123.57.22.102:2080/migu720p.php?id=956909303
陕西新闻资讯频道,http://123.57.22.102:2080/migu720p.php?id=956909289
财富天下,http://123.57.22.102:2080/migu720p.php?id=956923159
经典香港电影,http://123.57.22.102:2080/migu720p.php?id=625703337
抗战经典影片,http://123.57.22.102:2080/migu720p.php?id=617432318
新片放映厅,http://123.57.22.102:2080/migu720p.php?id=619495952
CHC影迷电影,http://123.57.22.102:2080/migu720p.php?id=952383261
和美乡途轮播台,http://123.57.22.102:2080/migu720p.php?id=713591450
高清大片,http://123.57.22.102:2080/migu720p.php?id=629943678
南方影视,http://123.57.22.102:2080/migu720p.php?id=614961829
血色山河·抗日战争影像志,http://123.57.22.102:2080/migu720p.php?id=713600957
最强综艺趴,http://123.57.22.102:2080/migu720p.php?id=629942228
嘉佳卡通,http://123.57.22.102:2080/migu720p.php?id=614952364
经典动画大集合,http://123.57.22.102:2080/migu720p.php?id=629942219
新动力量创一流,http://123.57.22.102:2080/migu720p.php?id=713589837
环球旅游,http://123.57.22.102:2080/migu720p.php?id=958475356
赛事最经典,http://123.57.22.102:2080/migu720p.php?id=646596895
体坛名栏汇,http://123.57.22.102:2080/migu720p.php?id=629943305
四海钓鱼,http://123.57.22.102:2080/migu720p.php?id=637444975
咪咕24小时体育台,http://123.57.22.102:2080/migu720p.php?id=654102378
24小时城市联赛轮播台,http://123.57.22.102:2080/migu720p.php?id=915512915
武术世界,http://123.57.22.102:2080/migu720p.php?id=958475359
CETV1,http://123.57.22.102:2080/migu720p.php?id=923287154
CETV2,http://123.57.22.102:2080/migu720p.php?id=923287211
CETV4,http://123.57.22.102:2080/migu720p.php?id=923287339
山东教育,http://123.57.22.102:2080/migu720p.php?id=609154353
组播频道,#genre#
CCTV1,http://60.10.139.113:8801/hls/1/index.m3u8
CCTV2,http://60.10.139.113:8801/hls/2/index.m3u8
CCTV3,http://60.10.139.113:8801/hls/3/index.m3u8
CCTV4,http://60.10.139.113:8801/hls/4/index.m3u8
CCTV5,http://60.10.139.113:8801/hls/5/index.m3u8
CCTV6,http://60.10.139.113:8801/hls/6/index.m3u8
CCTV7,http://60.10.139.113:8801/hls/7/index.m3u8
CCTV8,http://60.10.139.113:8801/hls/8/index.m3u8
CCTV9,http://60.10.139.113:8801/hls/9/index.m3u8
CCTV10,http://60.10.139.113:8801/hls/10/index.m3u8
CCTV11,http://60.10.139.113:8801/hls/96/index.m3u8
CCTV12,http://60.10.139.113:8801/hls/11/index.m3u8
CCTV13,http://60.10.139.113:8801/hls/12/index.m3u8
CCTV14,http://60.10.139.113:8801/hls/13/index.m3u8
CCTV15,http://60.10.139.113:8801/hls/97/index.m3u8
CCTV5+,http://60.10.139.113:8801/hls/15/index.m3u8
CCTV17,http://60.10.139.113:8801/hls/98/index.m3u8
CGTN,http://60.10.139.113:8801/hls/14/index.m3u8
CGTN,https://english-livebkali.cgtn.com/live/encgtn_0.m3u8
CGTN记录,https://english-livebkali.cgtn.com/live/doccgtn_0.m3u8
CGTN俄语,https://russian-livews.cgtn.com/hls/LSvexABhNipibK5KRuUkvHZ7220802LSTeze9o8tdFXMHsb1VosgoT220802cd/playlist.m3u8
CGTN法语,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN西语,https://espanol-liveali.cgtn.com/hls/LSveOGBaBw41Ea7ukkVAUdKQ220802LSTexu6xAuFH8VZNBLE1ZNEa220802cd/playlist.m3u8
CGTN阿语,https://arabic-liveali.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8
CGTN财经,https://amg01314-amg01314c6-distrotv-us-10220.playouts.now.amagi.tv/index_6.m3u8
湖南卫视,http://60.10.139.113:8801/hls/17/index.m3u8
浙江卫视,http://60.10.139.113:8801/hls/18/index.m3u8
江苏卫视,http://60.10.139.113:8801/hls/19/index.m3u8
北京卫视,http://60.10.139.113:8801/hls/20/index.m3u8
东方卫视,http://60.10.139.113:8801/hls/22/index.m3u8
安徽卫视,http://60.10.139.113:8801/hls/99/index.m3u8
天津卫视,http://60.10.139.113:8801/hls/23/index.m3u8
河北卫视,http://60.10.139.113:8801/hls/16/index.m3u8
山东卫视,http://60.10.139.113:8801/hls/25/index.m3u8
河南卫视,http://60.10.139.113:8801/hls/32/index.m3u8
江西卫视,http://60.10.139.113:8801/hls/37/index.m3u8
湖北卫视,http://60.10.139.113:8801/hls/29/index.m3u8
四川卫视,http://60.10.139.113:8801/hls/30/index.m3u8
重庆卫视,http://60.10.139.113:8801/hls/31/index.m3u8
东南卫视,http://60.10.139.113:8801/hls/21/index.m3u8
广东卫视,http://60.10.139.113:8801/hls/26/index.m3u8
深圳卫视,http://60.10.139.113:8801/hls/24/index.m3u8
广西卫视,http://60.10.139.113:8801/hls/52/index.m3u8
辽宁卫视,http://60.10.139.113:8801/hls/28/index.m3u8
吉林卫视,http://60.10.139.113:8801/hls/38/index.m3u8
黑龙江卫视,http://60.10.139.113:8801/hls/27/index.m3u8
贵州卫视,http://60.10.139.113:8801/hls/36/index.m3u8
海南卫视,http://nn.7x9d.cn/地方台8563/海南.php?id=hnws
三沙卫视,https://srs.ssws.tv/video/sstv-10/index.m3u8#http://nn.7x9d.cn/地方台8563/海南.php?id=ssws
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws#http://lxajh.top/tv/hn.php?id=hnws
深圳卫视,http://nn.7x9d.cn/深圳最新.php?id=szws4k
云南卫视-,http://60.10.139.113:8801/hls/51/index.m3u8
陕西卫视-,http://60.10.139.113:8801/hls/53/index.m3u8
山西卫视-,http://60.10.139.113:8801/hls/54/index.m3u8
青海卫视-,http://60.10.139.113:8801/hls/56/index.m3u8
宁夏卫视-,http://60.10.139.113:8801/hls/57/index.m3u8
内蒙古卫视-,http://60.10.139.113:8801/hls/55/index.m3u8
山西卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.211:5140
陕西卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.223:5140
内蒙古卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.217:5140
兵团卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.221:5140       
西藏卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.222:5140
宁夏卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.230:5140
新疆卫视,http://jasonzhangnas.f3322.net:7088/udp/233.18.204.220:5140
内网频道,#genre#
CCTV1,http://183.129.255.66:8480/hls/1/index.m3u8
CCTV2,http://183.129.255.66:8480/hls/2/index.m3u8
CCTV3,http://183.129.255.66:8480/hls/3/index.m3u8
CCTV4,http://183.129.255.66:8480/hls/4/index.m3u8
CCTV5,http://183.129.255.66:8480/hls/5/index.m3u8
CCTV5+,http://183.129.255.66:8480/hls/6/index.m3u8
CCTV6,http://183.129.255.66:8480/hls/7/index.m3u8
CCTV7,http://183.129.255.66:8480/hls/8/index.m3u8
CCTV8,http://183.129.255.66:8480/hls/9/index.m3u8
CCTV9,http://183.129.255.66:8480/hls/10/index.m3u8
CCTV10,http://183.129.255.66:8480/hls/11/index.m3u8
CCTV11,http://183.129.255.66:8480/hls/12/index.m3u8
CCTV12,http://183.129.255.66:8480/hls/13/index.m3u8
CCTV13,http://183.129.255.66:8480/hls/14/index.m3u8
CCTV14,http://183.129.255.66:8480/hls/15/index.m3u8
CCTV15,http://183.129.255.66:8480/hls/16/index.m3u8
CCTV16,http://183.129.255.66:8480/hls/17/index.m3u8
CCTV17,http://183.129.255.66:8480/hls/18/index.m3u8

CCTV1,http://223.95.198.3:8000/hls/1/index.m3u8
CCTV2,http://223.95.198.3:8000/hls/2/index.m3u8
CCTV3,http://223.95.198.3:8000/hls/3/index.m3u8
CCTV4,http://223.95.198.3:8000/hls/4/index.m3u8
CCTV5,http://223.95.198.3:8000/hls/5/index.m3u8
CCTV6,http://223.95.198.3:8000/hls/6/index.m3u8
CCTV7,http://223.95.198.3:8000/hls/7/index.m3u8
CCTV8,http://223.95.198.3:8000/hls/8/index.m3u8
CCTV9,http://223.95.198.3:8000/hls/9/index.m3u8
CCTV10,http://223.95.198.3:8000/hls/10/index.m3u8
CCTV11,http://223.95.198.3:8000/hls/11/index.m3u8
CCTV12,http://223.95.198.3:8000/hls/12/index.m3u8
CCTV13,http://223.95.198.3:8000/hls/13/index.m3u8
CCTV14,http://223.95.198.3:8000/hls/14/index.m3u8
CCTV15,http://223.95.198.3:8000/hls/15/index.m3u8
CCTV16,http://223.95.198.3:8000/hls/16/index.m3u8
CCTV17,http://223.95.198.3:8000/hls/17/index.m3u8
浙江卫视,http://223.95.198.3:8000/hls/24/index.m3u8
北京卫视,http://223.95.198.3:8000/hls/21/index.m3u8
东方卫视,http://223.95.198.3:8000/hls/22/index.m3u8
深圳卫视,http://223.95.198.3:8000/hls/23/index.m3u8
湖南卫视,http://223.95.198.3:8000/hls/25/index.m3u8
天津卫视,http://223.95.198.3:8000/hls/26/index.m3u8
河北卫视,http://223.95.198.3:8000/hls/27/index.m3u8
江苏卫视,http://223.95.198.3:8000/hls/28/index.m3u8
山东卫视,http://223.95.198.3:8000/hls/29/index.m3u8
河南卫视,http://223.95.198.3:8000/hls/31/index.m3u8
湖北卫视,http://223.95.198.3:8000/hls/32/index.m3u8
安徽卫视,http://223.95.198.3:8000/hls/30/index.m3u8
辽宁卫视,http://223.95.198.3:8000/hls/34/index.m3u8
黑龙江卫视,http://223.95.198.3:8000/hls/33/index.m3u8
吉林卫视,http://223.95.198.3:8000/hls/35/index.m3u8
重庆卫视,http://223.95.198.3:8000/hls/36/index.m3u8
广西卫视,http://223.95.198.3:8000/hls/39/index.m3u8
广东卫视,http://223.95.198.3:8000/hls/38/index.m3u8
四川卫视,http://223.95.198.3:8000/hls/37/index.m3u8
江西卫视,http://223.95.198.3:8000/hls/40/index.m3u8
陕西卫视,http://223.95.198.3:8000/hls/43/index.m3u8
海南卫视,http://223.95.198.3:8000/hls/41/index.m3u8
甘肃卫视,http://223.95.198.3:8000/hls/42/index.m3u8
云南卫视,http://223.95.198.3:8000/hls/44/index.m3u8
云南卫视,http://223.95.198.3:8000/hls/45/index.m3u8
青海卫视,http://223.95.198.3:8000/hls/47/index.m3u8
港澳台,#genre#
鳳凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
